errata_header,errata_text,question,answer,applies_to
"Ironstorm Spearhead Detachment, Master of Machine War Enhancement","Delete ‘Aura’ from this Enhancement and change to: | ‘**ADEPTUS ASTARTES** model only. In your Command phase, select one **ADEPTUS ASTARTES VEHICLE** model within 6"" of the bearer. Until the start of your next Command phase, that **VEHICLE** is eligible to shoot even if it Fell Back or Advanced this turn.’",,,enhancement
,,"When I return models to a unit of Blue Horrors that began the battle as a unit of Pink Horrors, can I return Pink Horrors to that unit?",No.,datasheet: Pink Horrors
"Inquisitorial Agents, Inquisitorial Henchmen Section","Change to: | ‘If your Army Faction is not **AGENTS OF THE IMPERIUM**, then for each **INQUISITOR** unit you include in your army, you can include one **INQUISITORIAL AGENTS** unit in your army that does not count towards the number of **RETINUE** units your army can include (see Assigned Agents).’",,,datasheet: Inquisitorial Agents
"Chaos Rhino, Core Abilities",Add ‘Firing Deck 2’.,,,datasheet: Chaos Rhino
"Voidraven Bomber, Void Mine Ability","Change to: | 'At the end of your opponent’s Fight phase, select one visible enemy model (excluding Lone Operative units) within 24"" of this unit, and roll one D6 for each enemy unit within D6"" of that model: For each 4+, that unit suffers D6 mortal wounds.'",,,datasheet: Voidraven Bomber
,,"If I am using the Veterans of the Long War Detachment and I select an Attached unit to be my focus of hatred, if that unit splits for any reason, are each of the resulting units my focus of hatred until the start of my next Command phase?",Yes.,
"Ethereal, Abilities",Add the following Faction Abilities section: | ‘**FACTION**: For the Greater Good’,,,datasheet: Ethereal
Feed the Swarm Detachment Rule,"Change to: | ‘In your Command phase, each **HARVESTER** unit from your army can Regenerate one friendly **TYRANIDS** unit that is within 6"" of it. A unit can only be regenerated once per phase. Each time a unit regenerates, do one of the following: | ■ One model in that unit regains up to D3+1 lost wounds. | ■ One destroyed **INFANTRY** model (excluding **CHARACTERS**) is returned to that unit with its full wounds remaining. If that unit is an **ENDLESS MULTITUDE** unit, up to 3 destroyed models are returned instead.’",,,detachment
"Exalted Eightbound, Rend and Tear Ability","Change to: | ‘Each time a model in this unit makes a melee attack that targets a **MONSTER** or **VEHICLE** unit, until the end of the phase, improve the Damage characteristic of that attack by 1.'",,,datasheet: Exalted Eightbound
"Inner Circle Companions, Calibanite Greatsword Profiles",Change to: | **Strike** [LETHAL HITS] | Range - Melee | A - 4 | WS - 3+ | S - 6 | AP - -2 | D - 2 | **Sweep** [SUSTAINED HITS 2] | Range - Melee | A - 5 | WS - 3+ | S - 6 | AP - -2 | D - 1,,,datasheet: Inner Circle Companions
"Catachan Command Squad, Ranged Weapons table","Add the following profiles: | **Bolt pistol** [PISTOL] | Range - 12"" | A - 1 | BS - 4+ | S - 4 | AP - 0 | D - 1 | **Boltgun** [RAPID FIRE 1] | Range - 24"" | A - 1 | BS - 4+ | S - 4 | AP - 0 | D - 1",,,datasheet: Catachan Command Squad
"Archaeopter Fusilave, Bomb Rack Ability","Change to: | 'At the end of your opponent’s Fight phase, select one visible enemy unit (excluding Lone Operative units) within 24"" of this unit, and roll six D6 for that unit: for each 4+, that unit suffers 1 mortal wound.'",,,datasheet: Archaeopter Fusilave
"Daemonifuge, Mysterious Saviours Ability","Change to: | 'You can target this unit with the Heroic Intervention stratagem, regardless of any other uses of that stratagem this phase. If you do: | ▪ That use is -1 CP. | ▪ That use does not prevent any uses of that stratagem on other units this phase.'",,,datasheet: Daemonifuge
,,"If an enemy model is within 12"" of any part of a unit that is led by a **CHARACTER** with the Radiant Mantle Enhancement when that enemy model selects targets for its attacks, do those attacks suffer from the -1 Hit roll penalty?",Yes.,enhancement
"Windrider Host Detachment, Daring Riders Stratagem, Effect Section","Change 9"" to 8"".",,,stratagem
Fulgrim,"Add the following ability: | ‘**Serpentine**: Each time this model makes a Normal, Advance or Fall Back move, it can move over sections of terrain features that are 4"" or less in height.’",,,datasheet: Fulgrim
"Ironstorm Spearhead Detachment, Mercy is Weakness Stratagem, CP Cost",Change to ‘2CP’.,,,stratagem
,,"When I return models to a unit of Blue Horrors that began the battle as a unit of Pink Horrors, can I return models to that unit to bring it above the starting strength of that unit of Pink Horrors?",No.,datasheet: Pink Horrors
Night Scythe,■ **Invasion Beams Ability**: Add 'That unit can embark within this **TRANSPORT** in a turn it disembarked from this **TRANSPORT**.' | ■ **Core Abilities**: Add ‘Deep Strike’.,,,datasheet: Night Scythe
"Outlander Claw Detachment, Along Shadowed Trails Stratagem, Target and Effect Sections","Change to: | ‘**TARGET**: Select one of those Cult Ambush markers. | **EFFECT**: You can set up that Cult Ambush marker anywhere on the battlefield that is more than 8"" horizontally away from all enemy units.’",,,stratagem
"Inquisitor Draxus, Leader Section",Remove ‘**DEATHWATCH KILL TEAM**'.,,,datasheet: Inquisitor Draxus
"Chaos Vindicator, Profile","Change **M** to 9"".",,,datasheet: Chaos Vindicator
,,Does Fabius Bile’s Enhanced Warriors ability apply if Fabius starts the battle as part of an Attached unit inside a transport?,Yes.,datasheet: Fabius Bile
"Battlewagon, Blitza-bommer, Burna-bommer, Dakkajet, Hunta Rig, Kill Rig, Stompa, Trukk – Keywords Section",Add 'FRAME'.,,,datasheet: Battlewagon; datasheet: Blitza-bommer; datasheet: Burna-bommer; datasheet: Dakkajet; datasheet: Hunta Rig; datasheet: Kill Rig; datasheet: Stompa; datasheet: Trukk
"Goremongers, Loping Speed Ability","Change to: | 'In your opponent's Movement phase, if an enemy unit ends a move within 8” of this unit, if this unit is not within Engagement Range of one or more enemy units, this unit can make a Normal move of up to D6”.'",,,datasheet: Goremongers
Instinctive Defence Enhancement,"Change to: | **TYRANIDS** model only. While the bearer is within 6"" of one or more friendly **HARVESTER** units, when you target this unit with the **Heroic Intervention stratagem**, that use is -1 CP. In addition, while the bearer is within 6"" of one or more friendly **HARVESTER** units, models in the bearer's unit have the Fights First ability.",,,enhancement
"Firesight Team, Precise Targeting Ability","Change to: | 'Each time a model in this unit makes an attack that targets a Spotted unit, you can re-roll the Hit roll.'",,,datasheet: Firesight Team
"Land Speeder Vengeance, Plasma Storm Battery Profiles","Change to: | **Plasma Storm Battery - Standard** [BLAST, TWIN-LINKED] | Range - 36"" | A - D6+1 | BS - 3+ | S - 8 | AP - -2 | D - 2 | **Plasma Storm Battery - Supercharge** [BLAST, HAZARDOUS, TWIN-LINKED] | Range - 36"" | A - D6+1 | BS - 3+ | S - 9 | AP - -3 | D - 3",,,datasheet: Land Speeder Vengeance
Death Korps of Krieg,"■ Ranged Weapons table: add the following profile: | **Boltgun** [RAPID FIRE 1] | Range - 24"" | A - 1 | BS - 4+ | S - 4 | AP - 0 | D - 1 | ■ **Wargear Options, fourth bullet**: change to ‘Any number of Death Korps Watchmasters can each replace their laspistol and chainsword with 1 boltgun and 1 close combat weapon.’",,,datasheet: Death Korps of Krieg
"Archaeopter Transvector, Aerial Deployment Ability","Change to: | 'In your first Movement phase, this unit can make an ingress move.'",,,datasheet: Archaeopter Transvector
"Dominion Squad, Righteous Awareness Ability","Change to: | 'In your opponent's Movement phase, if an enemy unit ends a move within 8” of this unit, if this unit is not within Engagement Range of one or more enemy units it can make a Normal move of up to D6”.'",,,datasheet: Dominion Squad
,,"If I am using the Auric Champions Detachment and an **ADEPTUS CUSTODES CHARACTER** model that is leading a unit from my army is destroyed (e.g. by an attack with the **[PRECISION]** ability), does the Assemblage of Might Detachment rule still apply to the remaining models in that unit until the start of my next Command phase?",No.,detachment
"Windrider Host Detachment, Overflight Stratagem","Change to: | ‘**WHEN**: End of your Shooting phase or the end of the Fight phase. | **TARGET**: One **ASURYANI MOUNTED** unit from your army that destroyed one or more enemy units this phase. | **EFFECT**: Your unit can make a Normal move of up to 7"".’",,,stratagem
"Ironstorm Spearhead Detachment, Ancient Fury Stratagem, Effect Section","Change to: | ‘Until the start of your next Command phase, improve your model’s Move, Toughness, Leadership and Objective Control characteristics by 1 and each time your model makes an attack, add 1 to the Hit roll.",,,stratagem
Heldrake,"■ **Profile**: Change **M** to 12"", **Sv** to '3+' and **OC** to '-'. | ■ **Keywords**: Remove 'AIRCRAFT'.",,,datasheet: Heldrake
"Monolith, Eternity Gate Ability","Change to: | 'In your movement phase (excluding the first battle round), you can select one friendly **NECRONS INFANTRY** unit that is either in **strategic reserves** or on the battlefield (if you select a unit on the battlefield, remove that unit from the battlefield and place it into **strategic reserves**). That unit can make an **ingress move**, and must be set up wholly within 6"" of this unit and not **engaged** with any enemy units. That unit cannot make a **charge move** this turn.'",,,datasheet: Monolith
"Sisters of Battle Immolator, Invulnerable Save",Remove asterisk.,,,datasheet: Sisters of Battle Immolator
,,When is the model destroyed by the Traitor Enforcer’s Brutal Example ability removed?,Before resolving the Fire Overwatch Stratagem with that unit.,datasheet: Traitor Enforcer
,,Do Pink Horrors’ and Blue Horrors’ Split abilities trigger when the damage is dealt by something other than an attack?,No.,datasheet: Blue Horrors; datasheet: Pink Horrors
"Flamers, Profile",Change **Ld** to 7+.,,,datasheet: Flamers
"Xenocreed Cogregation Detachment, Deeds That Speak to the Masses Enhancement","Change to: | ‘**MAGUS**, **PRIMUS** or **ACOLYTE ICONWARD** model only. You start the battle with 2 additional Resurgence points.’",,,enhancement
"**Khorne Berzerkers and Jakhals, Icon of Khorne**","Change to: | ‘**Icon of Khorne:** If the bearer’s unit contains one or more Icons of Khorne, each time the bearer’s unit destroys an enemy unit, you gain 1 Bloodshed point. Each time you make a Blessings of Khorne roll, roll one additional D6 for each Bloodshed point you have, after which, all your Bloodshed points are lost.",,,datasheet: Jakhals; datasheet: Khorne Berzerkers
"Blitza‑bommer, Burna‑bommer, Dakkajet and Wazbom Blastajet",■ **Profile**: Change **M** and **OC** to '-'.,,,datasheet: Blitza-bommer; datasheet: Burna-bommer; datasheet: Dakkajet; datasheet: Wazbom Blastajet
Enraged Behemoths Detachment Rule,"Change to: | ‘Each time a **TYRANIDS MONSTER** model from your army makes an attack, add 1 to the Hit roll if that model’s unit is below its Starting Strength, and add 1 to the Wound roll as well if that model’s unit is Below Half-strength. In addition, while a **TYRANIDS MONSTER** unit from your army (excluding Battle-shocked units) is at its Starting Strength, add 2 to the Objective Control characteristic of models in that unit.",,,detachment
Kroot Trail Shaper,"■ **Kroot Ambush Ability** – Change to: | 'After both players have deployed their armies, you can redeploy this model’s unit and one other friendly **KROOT** unit. When doing so, any of those units can be placed into Strategic Reserves, regardless of how many units are already in Strategic Reserves.' | ■ **Trail Finding Ability** – Change to: | 'In your opponent's Movement phase, if an enemy unit ends a move within 8” of this unit, if this unit is not within Engagement Range of one or more enemy units, this unit can make a Normal move of up to D6”.'",,,datasheet: Kroot Trail Shaper
"Death Riders, Screening Line Ability","Change to: | 'In your opponent's Movement phase, if an enemy unit ends a move within 8” of this unit, if this unit is not within Engagement Range of one or more enemy units, this unit can make a Normal move of up to 6”.'",,,datasheet: Death Riders
Belisarius Cawl,"■ **Move characteristic**: change to 8"". | ■ **Canticles of the Omnissiah Ability** | Change to: | ‘At the start of your Command phase, select one of the abilities in the Canticles of the Omnissiah section. Until the start of your next Command phase, this model has that ability.’ | ■ **Invocation of Machine Vengeance Ability** | Change to: | ‘At the start of your Command phase, select one unit from your opponent’s army. Until the start of your next Command phase, that enemy unit is your Machine Vengeance target. Each time a model in a friendly ADEPTUS MECHANICUS unit makes an attack that targets your Machine Vengeance target, you can re-roll the Hit roll.’ | ■ **Mantra of Discipline Ability** | Change to: | ‘This model has the BATTLELINE keyword and has the following ability: Binharic Courage (Aura): While a friendly ADEPTUS MECHANICUS unit is within 6"" of this model, add 1 to the Objective Control characteristic of models in that unit and each time you take a Battle-shock or Leadership test for that unit, add 1 to that test.’ | ■ **Shroudpsalm (Aura) Ability** | Change to: | ‘While a friendly ADEPTUS MECHANICUS unit is within 6"" of this model, that unit has the Stealth ability.’ | ■ **Solar atomiser weapon**: Change **A** to '3' and **D** to 'D6'.",,,datasheet: Belisarius Cawl
"Immolator, Transport section, second paragraph","Change to: | ‘At the start of the Declare Battle Formations step, you can select one Battle Sisters Squad, Dominion Squad or Sisters Novitiate Squad from your army. If you do, that unit is split into two units, each containing as equal a number of models as possible (when splitting a unit in this way, make a note of which models form each of the two new units. If you are splitting a unit that has the Cherub ability, only one of the new units can use that ability during the battle – make a note of which of the new units this will be). One of these units must start the battle embarked within this TRANSPORT; the other can start the battle embarked within another TRANSPORT, or it can be deployed as a separate unit.’",,,datasheet: Immolator
"Warlock, Core Abilities section","Remove 'Leader', add 'Support'.",,,datasheet: Warlock
Lion El’Jonson,"■ **All Secrets Revealed Ability** – Change to: | ‘**Mist-wreathed Shadow Realms**: In your Command phase, if this unit is not within Engagement Range of one or more enemy units, you can remove it from the battlefield and place it into Strategic Reserves.' | ■ **Martial Exemplar (Aura) Ability** – Change to: | ‘**Martial Exemplar (Aura)**: While a friendly **ADEPTUS ASTARTES** unit is within 6"" of this model, each time a model in that unit makes a melee attack, re-roll a Hit roll of 1 and re-roll a Wound roll of 1.' | ■ **Primarch of the First Legion Ability** – Change to: | ‘**Primarch of the First Legion**: At the start of your Command phase, select two Primarch of the First Legion abilities. Until the start of your next Command phase, this model has those abilities.’ | ■ **The Emperor’s Shield Ability** – Change to: ‘Each time an attack targets this model, if the Strength characteristic of that attack is greater than the Toughness characteristic of this model, subtract 1 from the Wound roll.’ | ■ **Fealty weapon profile**: change to: | Fealty - Strike[LETHAL HITS] | Range - Melee | A - 8 | WS - 2+ | S - 12 | AP - -4 | D - 4 | Fealty - Sweep[SUSTAINED HITS 1] | Range - Melee | A - 16 | WS - 2+ | S - 6 | AP - -3 | D - 2",,,datasheet: Lion El’Jonson
"Ravenwing Black Knights, Ravenwing Command Squad – Black Knight Combat Weapon Profile",Add [DEVASTATING WOUNDS].,,,datasheet: Ravenwing Black Knights
"Untrammelled Ferocity Stratagem, Effect Section","Change to: | **‘**Until the end of the phase, each time a model in your unit makes a Normal, Advance or Fall Back move, it can move through models (excluding **TITANIC** models) and sections of terrain features that are 4"" or less in height. When doing so: | ■ It can move within Engagement Range of enemy models, but cannot end that move within Engagement Range of them. | ■ It can also move through sections of terrain features that are more than 4"" in height, but if it does, after its unit has moved, roll one D6: on a 1, your unit is Battle-shocked.’",,,stratagem
"Infractors, Melee Weapons, Power Sword",Change Strength characteristic to ‘5’.,,,datasheet: Infractors
"Plasmancer, Living Lightning Ability","Change to: | ‘In your Shooting phase, select one enemy unit within 18"" of and visible to this model (excluding units with the Lone Operative ability that are not part of an Attached unit and are not within 12"" of this model) and roll four D6: for each 4+, that enemy unit suffers 1 mortal wound.",,,datasheet: Plasmancer
"Shadowmark Talon Detachment, Masters of Shadow Detachment Rule","Change to: | 'Each time a ranged attack targets an **ADEPTUS ASTARTES** unit from your army, unless the attacking model is within 12"", the target has the **Benefit** **of Cover**.'",,,detachment
,,"Does Be’lakor’s The Dark Master ability allow it to be set up closer than 9"" to enemy models, in a location that is not otherwise within my army’s Shadow of Chaos, using the Warp Rifts Detachment rule?",No.,datasheet: Be’lakor
"Xenocreed Congregation Detachment, The Downtrodden Rise Stratagem, When and Effect Sections","Change to: | ‘**WHEN**: End of your opponent’s Movement phase. | **EFFECT**: Until the end of the phase, you can set up your unit on the battlefield without using a Cult Ambush marker. When doing so, set up your unit anywhere on the battlefield that is more than 6"" horizontally away from all enemy units.’",,,stratagem
"Vindicare Assassin, Dead Shot Ability","Change to: | 'When this unit is **selected to shoot**, until this unit has shot: | ■ Enemy units do not have **Lone Operative**. | ■ **Hidden** enemy units have +15"" **detection range**.'",,,datasheet: Vindicare Assassin
"Infernal Master, Ranged Weapons, inferno bolt pistol",Add ‘[PISTOL]’.,,,datasheet: Infernal Master
"Tankbustas, Breaka Boyz, Kommandos, Squighog Boyz – Bomb Squigs Ability","Change to: | ‘Once per battle, for each bomb squig this unit has, after this unit ends a Normal move, you can use one Bomb Squig. If you do, select one enemy unit within 12"" and visible to this unit and roll one D6: on a 3+, that enemy unit suffers D3 mortal wounds.’",,,datasheet: Breaka Boyz; datasheet: Kommandos; datasheet: Squighog Boyz; datasheet: Tankbustas
"Khorne Berzerkers, Blood Surge Ability","Change to: | 'In your opponent’s Shooting phase, when an enemy unit has shot, if a model in this unit was **destroyed** as a result of those attacks, this unit can make a **surge move** of up to D6+2”.'",,,datasheet: Khorne Berzerkers
"Kasrkin, Weapons Tables","Delete the ‘power weapon’ profile and add the following profiles: | **Plasma pistol – standard** [PISTOL] | Range - 12"" | A - 1 | BS - 3+ | S - 7 | AP - -2 | D - 1 | **Plasma pistol – supercharge** [HAZARDOUS, PISTOL] | Range - 12"" | A - 1 | BS - 3+ | S - 8 | AP - -3 | D - 2 | **Chainsword** | Range - Melee | A - 4 | BS - 4+ | S - 3 | AP - 0 | D - 1",,,datasheet: Kasrkin
"Skitarii Marshal, Servo-skull Uplink Ability","Change to: | ‘Once per battle, at the start of any phase, you can select one friendly SKITARII unit that is Battle-shocked and within 6"" of this model. That unit is no longer Battle-shocked.’",,,datasheet: Skitarii Marshal
"Retributor Squad, Storm of Retribution Ability","Change to: | 'Each time a model in this unit makes a ranged attack, that model can re‑roll a Hit roll of 1 and re‑roll a Wound roll of 1. If such an attack targets an enemy unit that has destroyed one or more ADEPTA SORORITAS units from your army during the battle, add 1 to the Hit roll and add 1 to the Wound roll as well.’",,,datasheet: Retributor Squad
"Dark Reapers, Dire Avengers, Fire Dragons, Howling Banshees, Striking Scorpions, Swooping Hawks, Warp Spiders – Aspect Shrine Token ability","Change to: | 'Once per battle for each Aspect Shrine token this unit has, you can change the result of one Hit roll or one Wound roll made for a model in this unit (excluding **CHARACTER** models) to an unmodified 6.'",,,datasheet: Dark Reapers; datasheet: Dire Avengers; datasheet: Fire Dragons; datasheet: Howling Banshees; datasheet: Striking Scorpions; datasheet: Swooping Hawks; datasheet: Warp Spiders
"Pathfinder Team, Target Uploaded Ability","Change to: | 'Each time a model in this unit makes an attack that targets their Spotted unit, improve the Ballistic Skill characteristic of that attack by 1 and that attack has the **[IGNORES COVER]** ability.'",,,datasheet: Pathfinder Team
Riptide Battlesuit,"■ **Nova Charge Ability** | Change to: | 'Once per battle, when this unit is selected to shoot in your Shooting phase, select one ranged weapon equipped by this model. Until the end of the phase, that weapon has the **[DEVASTATING WOUNDS]** ability.’ | ■ **Ion Accelerator Ranged Weapon** | Change profiles to: | **Ion accelerator – standard** | Range - 72"" | A - 6 | BS - 4+ | S - 9 | AP - -2 | D - 3 | **Ion accelerator – supercharge** [HAZARDOUS] | Range - 72"" | A - 6 | BS - 4+ | S - 10 | AP - -3 | D - 4",,,datasheet: Riptide Battlesuit
"Helbrute, Frenzy Ability","Change to: | '(Once per turn, per unit) In the Fight phase, when an enemy unit targets this unit, after that unit has resolved its attacks, you can use this ability. If you do, this unit is **eligible to fight** (even if it has already fought this phase) and must be **selected to fight** next.'",,,datasheet: Helbrute
Insurmountable Odds Detachment Rule,"Change to: | 'In your opponent’s Shooting phase, when an enemy unit has shot, if a model from a friendly **ENDLESS MULTITUDE** unit was **destroyed** as a result of those attacks, that friendly unit can make a **surge move** of up to D6”.'",,,detachment
"Ravenwing Command Squad, Honour or Death Ability","Change to: | 'While this unit contains a Ravenwing Champion, add 1 to Advance and Charge rolls made for this unit. When you target this unit with the Heroic Intervention stratagem, that use is -1 CP.'",,,datasheet: Ravenwing Command Squad
"Tormentors, Melee Weapons, Power Sword",Change Strength characteristic to ‘5’.,,,datasheet: Tormentors
The Silent King,"■ **Bringer of Unity Ability**: Change to ‘**Relentless March (Aura)**: While a friendly **NECRONS** unit is within 6"" of this unit’s Szarekh model, add 2"" to the Move characteristic of models in that unit.’ | ■ **Keywords**: Change to: | ‘ – ALL MODELS: **VEHICLE**, **EPIC HERO**, **TRIARCH** | – SZAREKH MODEL: **CHARACTER**, **THE SILENT KING**’",,,datasheet: The Silent King
"Shadowmark Talon Detachment, Coronal Susurrant Enhancement, Lord of Deceit ability","Change to: | 'Once per turn, when your opponent targets a unit from their army within 12” of this model with a **stratagem**, you can use this ability. If you do increase the CP cost of that use of that **stratagem** by 1CP.'",,,enhancement
,,"Do the Greater Daemon of Slaanesh, Greater Daemon of Nurgle, Greater Daemon of Khorne or Greater Daemon of Tzeentch abilities allow a unit that has one of those abilities to be set up closer than 9"" to enemy models, in a location that is not otherwise within my army’s Shadow of Chaos, using the Warp Rifts Detachment rule?",No.,datasheet: Bloodthirster; datasheet: Great Unclean One; datasheet: Kairos Fateweaver; datasheet: Keeper of Secrets; datasheet: Lord of Change; datasheet: Rotigus; datasheet: Shalaxi Helbane; datasheet: Skarbrand
"Xenocreed Congregation Tireless Fervour Stratagem, Effect Section","Change to: | ' | - If your unit made an **advance**/**fall-back move** this turn, that **advance**/**fall-back move** does not prevent your unit from being **eligible to declare a charge**. | - When your unit **declares a charge**, you can use this part of this **stratagem**. If you do: | - Your unit can re-roll **charge rolls**. | - Your unit must end that **charge move** **engaged** with an enemy unit **engaged** with a friendly **CHARACTER** unit. | '",,,stratagem
"Voidsmen-at-Arms, Navy Bodyguard Section","Change to: | ‘If your Army Faction is not **AGENTS OF THE IMPERIUM**, then for each **VOIDFARERS CHARACTER** unit you include in your army, you can include one **VOIDSMEN-AT-ARMS** unit in your army that does not count towards the number of **RETINUE** units your army can include (see Assigned Agents).’",,,datasheet: Voidsmen-at-Arms
"Kairos Fateweaver, Ranged Weapons, Infernal Gateway","Change profiles to: | **Infernal Gateway – Witchfire** [BLAST, INDIRECT FIRE, PSYCHIC] | Range - 24"" | A - D6+3 | BS - 2+ | S - 9 | AP - -2 | D - D3 | **Infernal Gateway – Focused Witchfire** [BLAST,INDIRECT FIRE, HAZARDOUS, PSYCHIC] | Range - 24"" | A - D3+6 | BS - 2+ | S - 9 | AP - -2 | D - 3",,,datasheet: Kairos Fateweaver
"Krieg Combat Engineers, Remote Mine Ability","Change to: | ‘Once per battle, at the start of your Shooting phase, you can select one enemy unit within 9"" of and visible to the bearer and roll one D6: on a 3+, that enemy unit suffers D3 mortal wounds, or 2D3 mortal wounds instead if it is a **VEHICLE** or **FORTIFICATIONS** unit.’",,,datasheet: Krieg Combat Engineers
"Skorpius Dunerider, Core Abilities",Add ‘Firing Deck 2’.,,,datasheet: Skorpius Dunerider
"Triumph of Saint Katherine, Solemn Procession Ability","Change to: | ‘Each time you gain 1 Miracle dice at the start of the battle round, if this model is on the battlefield, do not roll one D6 to determine the value of that Miracle dice; it has a value of 6.’",,,datasheet: Triumph of Saint Katherine
"Asurmen, Hand of Asuryan Ability","Change to: | 'Once per battle, when this model is selected to shoot, it can use this ability. If it does, until the end of the phase, its Bloody Twins weapon has a Damage characteristic of 3 and the **[ANTI‑INFANTRY 5+]** and **[DEVASTATING WOUNDS]** abilities.'",,,datasheet: Asurmen
"Battlewagon, Transport Section","Change to: | ‘This model has a transport capacity of 22 **ORKS INFANTRY** models. If this model is equipped with a killkannon, it has a transport capacity of 12 **ORKS INFANTRY** models. Each **MEGA ARMOUR** or **JUMP PACK** model takes up the space of 2 models.The **GHAZGHKULL THRAKA** model takes up the space of 4 models.’",,,datasheet: Battlewagon
"Beastboss on Squigosaur, Single-Minded Predator Ability","Change to: | 'You can target this unit with the **Heroic Intervention stratagem**, regardless of any other uses of that **stratagem** this phase. If you do: | ▪ That use is -1 CP. | ▪ That use does not prevent any uses of that **stratagem** on other units this phase.'",,,datasheet: Beastboss on Squigosaur
"Mutalith Vortex Beast, Immaterial Flare Ability","Change to: | ‘While a friendly **THOUSAND SONS PSYKER** model is within 6"" of this model, each time that model Channels the Warp, add 1 to the Psychic test result. This is not cumulative with any other modifiers to the Psychic test result",,,datasheet: Mutalith Vortex Beast
"Goliath Rockgrinder, Goliath Truck – Keywords Section",Add 'FRAME'.,,,datasheet: Goliath Rockgrinder; datasheet: Goliath Truck
Stealth Battlesuits,"■ **Forward Observers Ability** – Change to: | Each time this unit is an Observer unit, until the end of the phase, each time a ranged attack is made by a model in a Guided unit that targets their Spotted unit, re-roll a Hit roll of 1 and re-roll a Wound roll of 1.’ | ■ **Homing Beacon Wargear Ability** – Change 9"" to 8"".",,,datasheet: Stealth Battlesuits
"Sammael, Grand Master of the Ravenwing Ability","Change to: | ‘While this model is leading a unit, that unit is eligible to shoot and declare a charge in a turn in which it Advanced. If that unit is already eligible to shoot and declare a charge in a turn in which it Advanced, add 1 to Advance and Charge rolls made for that unit instead.’",,,datasheet: Sammael
Neuronode Enhancement,"Change to: | ‘**TYRANIDS** model only. After both players have deployed their armies, you can select up to three **VANGUARD INVADER** units from your army and redeploy all of those units. When doing so, any of those units can be placed into Strategic Reserves, regardless of how many units are already in Strategic Reserves.’",,,enhancement
"Maulerfiend, Scent Of Blood Ability","Change to: | 'In the Charge phase, when this unit **declares a charge**: | ■ If an enemy unit **below starting strength** is within 9"" of this unit, this unit has +1 to **charge rolls**. | ■ Or: If an enemy unit **below half strength** is within 9"" of this unit, this unit has +2 to **charge rolls**.'",,,datasheet: Maulerfiend
,,"While using the Carnival of Excess Detachment, for the purposes of the Daemonic Empowerment rule, if my unit already has a weapon with [SUSTAINED HITS] (e.g. Shalaxi Helbane’s Pavane of Slaanesh, which has [SUSTAINED HITS 3]), does an unmodified Hit roll of 5+ for such a weapon score a Critical Hit?",,detachment
"Ophydian Destroyers, Tunnelling Horrors Ability","Change 9"" to 8"".",,,datasheet: Ophydian Destroyers
Krieg Command Squad,"■ **Ranged Weapons table, bolt pistol**: Add ‘**[PISTOL]**’. | ■ **Wargear Options, fifth bullet**: Change to ‘1 Veteran Guardsman not equipped with alchemyk counteragents can replace its laspistol with one of the following: | ▪ 1 bolt pistol | ▪ 1 plasma pistol’",,,datasheet: Krieg Command Squad
Onager Dunecrawler,"■ **Daedalus missile launcher**: Change **A** to '2'. | ■ **Eradication beamer**: Change **A** to '3D3' and **S** to '10'. | ■ **Neutron laser**: Change **A** to '3' and **D** to 'D6+2'. | ■ **Twin Onager heavy phosphor blaster**: Change **A** to '12'. | ■ Add the following ability: | '**Scuttling Walker**: Each time this model makes a Normal, Advance or Fall Back move, it can move through friendly MONSTER and VEHICLE models and sections of terrain features that are 4"" or less in height.'",,,datasheet: Onager Dunecrawler
"Zephyrim Squad, Embodied Prophecy Ability","Change to: | ‘Each time this unit is selected to fight, select one of the following abilities to apply to melee weapons equipped by models in this unit until the end of the phase: | ■ [SUSTAINED HITS 1] | ■ [LETHAL HITS] | If this unit made a Charge move this turn, until the end of the phase, select both abilities above to apply to melee weapons equipped by models in this unit instead.’",,,datasheet: Zephyrim Squad
"Baharroth, Cloudstrider Ability","Change to: | 'While this model is leading a unit, at the end of your opponent’s turn, if that unit is not within Engagement Range of one or more enemy units, you can remove it from the battlefield and place it into Strategic Reserves. In addition, while this model is leading a unit, when that unit is set up on the battlefield using the Deep Strike ability, in your Movement phase, it can use this ability. If it does, that unit can be set up anywhere on the battlefield that is more than 6"" horizontally away from all enemy models, but until the end of the turn, it is not eligible to declare a charge.'",,,datasheet: Baharroth
,,"If there are no objective markers within No Man’s Land or within my opponent’s deployment zone, does The Shadow of Chaos affect those areas of the battlefield?",No.,army rule: The Shadow of Chaos
,,"While using the Imperialis Fleet Detachment, if I attach a **CHARACTER** to a unit selected using the Clandestine Operation or Combat Landers Enhancement, does that **CHARACTER** also gain the ability conferred by that Enhancement (i.e. Infiltrators or Deep Strike, respectively)?",Yes.,enhancement
"Shadowmark Talon Detachment, Raptorial Vigilance Stratagem, Target Section","Change 9"" to: 8""",,,stratagem
,,"If a unit of Pink Horrors suffers casualties such that there are no Pink Horror models left, and it then uses the Blue Horrors datasheet, what is the starting strength of that Blue Horrors unit?",The starting strength of that Blue Horrors unit is the same as the starting strength of the original Pink Horrors unit when it was added to your army list.,datasheet: Pink Horrors
"Biophagus, Clamavus, Locus, Nexos – Core Abilities Section","Remove 'Leader', add 'Support'.",,,datasheet: Biophagus; datasheet: Clamavus; datasheet: Locus; datasheet: Nexos
